ITEMNAME;description;QUANTITY;category;groupid;styleno;costpx;sellingpx;re-order;uom;branch;date;barcode
work  suits ;work  suits ;16;;;;15400;25000;5;1;1;12-11-2020;90
W-channel;W-channel;4;;;;7500;13000;5;1;1;12-11-2020;91
"V-channel 3/4""";"V-channel 3/4""";52;;;;6000;12000;5;1;1;12-11-2020;92
"V-channel 1""";"V-channel 1""";26;;;;3610;10000;5;1;1;12-11-2020;93
U-channel 19mm;U-channel 19mm;108;;;;4685;12000;5;1;1;12-11-2020;94
Oval pipe ;Oval pipe ;22;;;;7891;20000;5;1;1;12-11-2020;95
"chrome pipe heavy 1""";"chrome pipe heavy 1""";90;;;;8250;20000;5;1;1;12-11-2020;96
"chrome pipe light 1""";"chrome pipe light 1""";0;;;;7280;20000;5;1;1;12-11-2020;97
"chrome pipe light 3/4""";"chrome pipe light 3/4""";12;;;;7500;15000;5;1;1;12-11-2020;98
"chrome pipe heavy 3/4""";"chrome pipe heavy 3/4""";10;;;;6000;12000;5;1;1;12-11-2020;99
curtain Railies ;curtain Railies ;11;;;;7500;15000;5;1;1;12-11-2020;100
Grinder (baby);Grinder (baby);3;;;;2700;10000;5;1;1;12-11-2020;101
secure  9;secure  9;7;;;;23400;40000;5;1;1;12-11-2020;102
secure 7;secure 7;0;;;;14760;25000;5;1;1;12-11-2020;103
secure 4;secure 4;2;;;;4500;10000;5;1;1;12-11-2020;104
joker;joker;3;;;;4780;10000;5;1;1;12-11-2020;105
self tapping screws 11/4+8;self tapping screws 11/4+8;40;;;;5340;15000;5;8;1;12-11-2020;106
self tapping screws11/2*8;self tapping screws11/2*8;40;;;;6360;18000;5;8;1;12-11-2020;107
self tapping screws2*8;self tapping screws2*8;41;;;;5040;20000;5;8;1;12-11-2020;108
wood screw(1*8);wood screw(1*8);52;;;;3250;5000;5;8;1;12-11-2020;109
"fiction hinges 10""";"fiction hinges 10""";0;;;;21600;80000;5;1;1;12-11-2020;110
"fiction hinges 12""";"fiction hinges 12""";0;;;;2190;10000;5;1;1;12-11-2020;111
"fiction hinges 14""";"fiction hinges 14""";0;;;;2400;12000;5;1;1;12-11-2020;112
"fiction hinges 16""";"fiction hinges 16""";250;;;;3060;14000;5;7;1;12-11-2020;113
"fictiion hinges 18""";"fictiion hinges 18""";0;;;;3720;16000;5;1;1;12-11-2020;114
hangers silver ;hangers silver ;120;;;;5280;18000;5;1;1;12-11-2020;115
hangers bronze ;hangers bronze ;120;;;;10350;20000;5;1;1;12-11-2020;116
"metalic runners 12""";"metalic runners 12""";0;;;;7890;20000;5;1;1;12-11-2020;117
"metalic  runners 14""";"metalic  runners 14""";0;;;;3240;8000;5;1;1;12-11-2020;118
"metalic  runners 16""";"metalic  runners 16""";0;;;;3780;10000;5;1;1;12-11-2020;119
"metalic runners18""";"metalic runners18""";0;;;;4320;12000;5;1;1;12-11-2020;120
"metalic runners 20""";"metalic runners 20""";0;;;;4860;14000;5;1;1;12-11-2020;121
vista toilet cylinder;vista toilet cylinder;200;;;;3400;12000;5;1;1;12-11-2020;122
breaker;breaker;1;;;;321000;1000000;5;1;1;12-11-2020;123
"ball corners 2""";"ball corners 2""";200;;;;7615;20000;5;1;1;12-11-2020;124
"corner covers 2""";"corner covers 2""";100;;;;12923;15000;5;1;1;12-11-2020;125
vista small cylinders ;vista small cylinders ;120;;;;3400;12000;5;1;1;12-11-2020;126
vista big cylinders ;vista big cylinders ;15;;;;4700;13000;5;1;1;12-11-2020;127
engaged locks(feality);engaged locks(feality);10;;;;6700;20000;5;1;1;12-11-2020;128
display hooks s5;display hooks s5;0;;;;8000;25000;5;1;1;12-11-2020;129
